"caseId","tier","config","n","magnitude","alpha","k","kStar","z0","z0Num","seed","value","err","sigmaSample","relErr","sigmaTrue","heavyTail","sigmaTrueConv","convMassFrac","nDivergent","domSigOverMu","gateOK","hasConstAny","minMargin","absMp","nDropped","nSectors","maxDetM","sumDetM","varRedTrue","varRedTrueConv","wallClock","exact","skipReason"
"T1a","T1","single","2","1000.","{2, 0}","1","1","1000","1000.","42","0.023618475293029947","0.00002091729917509894","0.02091729917509894","0.03501888668299363","inf","True","0.020901028338330165","0.9650750015972983","1","0.5084444774931226","True","True","0.5","1","2","8","1.","4.333333333333334","0","17.22724534430337","4.496421","True",""
"T1a","T1","single","2","1000.","{2, 0}","1","1","1000","1000.","101","0.02362772611510708","0.000020895661650495778","0.020895661650495778","0.034640925426971246","inf","True","0.020901028338330165","0.9650750015972983","1","0.5084444774931226","True","True","0.5","1","2","8","1.","4.333333333333334","0","17.22724534430337","4.496421","True",""
"T1a","T1","single","2","1000.","{2, 0}","1","1","1000","1000.","202","0.023626060170041742","0.000020938059701281413","0.020938059701281413","0.03470899101985681","inf","True","0.020901028338330165","0.9650750015972983","1","0.5084444774931226","True","True","0.5","1","2","8","1.","4.333333333333334","0","17.22724534430337","4.496421","True",""
"T1a","T1","single","2","1000.","{2, 0}","1","1","1000","1000.","303","0.023605937625945237","0.000020877209092698468","0.020877209092698468","0.03553113871415553","inf","True","0.020901028338330165","0.9650750015972983","1","0.5084444774931226","True","True","0.5","1","2","8","1.","4.333333333333334","0","17.22724534430337","4.496421","True",""
"T1a","T1","single","2","1000.","{2, 0}","1","1","1000","1000.","404","0.023633139393309556","0.000020949916219320714","0.020949916219320713","0.03441975487460865","inf","True","0.020901028338330165","0.9650750015972983","1","0.5084444774931226","True","True","0.5","1","2","8","1.","4.333333333333334","0","17.22724534430337","4.496421","True",""
"T1a","T1","single","2","1000.","{2, 0}","2","1","31.622776601683796","31.622776601683796","42","0.024018113989645276","0.000022922113513827463","0.022922113513827464","0.018690830379620625","inf","True","0.022947655020402486","0.9820001700344448","1","0.5084444774931226","True","True","0.5","1","2","8","1.","4.25","0","14.291391689685293","2.230517","True",""
"T1a","T1","single","2","1000.","{2, 0}","2","1","31.622776601683796","31.622776601683796","101","0.02405303100886867","0.00002295585022731271","0.02295585022731271","0.01726422414590476","inf","True","0.022947655020402486","0.9820001700344448","1","0.5084444774931226","True","True","0.5","1","2","8","1.","4.25","0","14.291391689685293","2.230517","True",""
"T1a","T1","single","2","1000.","{2, 0}","2","1","31.622776601683796","31.622776601683796","202","0.02403932221087791","0.000022971364965626694","0.022971364965626694","0.017824325125465598","inf","True","0.022947655020402486","0.9820001700344448","1","0.5084444774931226","True","True","0.5","1","2","8","1.","4.25","0","14.291391689685293","2.230517","True",""
"T1a","T1","single","2","1000.","{2, 0}","2","1","31.622776601683796","31.622776601683796","303","0.024019054244014182","0.000022920145795742284","0.022920145795742284","0.0186524143643423","inf","True","0.022947655020402486","0.9820001700344448","1","0.5084444774931226","True","True","0.5","1","2","8","1.","4.25","0","14.291391689685293","2.230517","True",""
"T1a","T1","single","2","1000.","{2, 0}","2","1","31.622776601683796","31.622776601683796","404","0.02467936224742181","0.0006304901966464495","0.6304901966464495","0.008325819596783081","inf","True","0.022947655020402486","0.9820001700344448","1","0.5084444774931226","True","True","0.5","1","2","8","1.","4.25","0","14.291391689685293","2.230517","True",""
